Date,LINK
22/9/20,8.764184952
23/9/20,7.685820103
24/9/20,9.833250999
25/9/20,10.71544456
26/9/20,10.33521461
27/9/20,10.77376366
28/9/20,10.31758785
29/9/20,10.11119747
30/9/20,9.857670784
1/10/20,9.64744854
2/10/20,9.233119965
3/10/20,9.305865288
4/10/20,9.424563408
5/10/20,9.646208763
6/10/20,8.780579567
7/10/20,8.982042313
8/10/20,9.547591209
10/10/20,10.52479267
11/10/20,10.84740734
14/10/20,10.94910908
15/10/20,10.73775196
16/10/20,10.61954975
17/10/20,10.65252399
18/10/20,10.88071346
19/10/20,10.88628292
20/10/20,9.878593445
21/10/20,10.80460739
22/10/20,11.93933487
23/10/20,12.16379547
24/10/20,12.73154831
25/10/20,12.16005898
26/10/20,11.74790192
27/10/20,11.9738369
28/10/20,11.4617424
29/10/20,11.26514053
30/10/20,11.09855747
31/10/20,11.22083855
1/11/20,11.53662968
2/11/20,10.79757881
3/11/20,10.38700199
4/11/20,10.47258663
5/11/20,10.99066925
6/11/20,12.11807156
7/11/20,11.75722408
8/11/20,12.65603542
9/11/20,12.52073479
10/11/20,13.00346279
11/11/20,12.80753803
12/11/20,12.42322254
13/11/20,12.8879776
14/11/20,12.57695961
15/11/20,12.12181282
16/11/20,12.59078979
17/11/20,13.24471188
18/11/20,13.59299564
19/11/20,13.62188244
20/11/20,14.07827282
21/11/20,15.35593414
22/11/20,14.44480133
23/11/20,15.27084446
24/11/20,15.6206646
25/11/20,14.26096535
26/11/20,12.57536316
27/11/20,12.49025917
28/11/20,13.07834625
29/11/20,13.37291813
30/11/20,14.22563934
